epoch,loss,val_loss
0,0.0015012866192634206,7.160325684008138e-06
1,5.273422862535433e-06,5.319953250130641e-06
2,3.3538442169307192e-06,3.6085914349712814e-06
3,2.798992946749851e-06,3.050210277183195e-06
4,2.59952163092454e-06,2.0217287431878744e-05
5,9.26282990477798e-05,9.505760089534338e-05
6,4.1055477602582954e-06,9.54270983071541e-05
0,0.9317911737287671,-0.4745675639083804,0.9465028408354362,-0.406729925628257
