input_image,bone_mask_image,TP,TN,FP,FN,recall,precision,FPR,FNR,PWC,Jaccard,Dice
dataset\inputs\input00737.dcm,dataset\bone_masks\mask00737.dcm,4404,257261,213,266,0.9430406852248394,0.9538661468486029,0.0008272679959918283,0.0569593147751606,0.1827239990234375,0.9019045668646324,0.9484225261117691
dataset\inputs\input00738.dcm,dataset\bone_masks\mask00738.dcm,4748,256928,184,284,0.9435612082670907,0.9626926196269262,0.0007156414325274589,0.05643879173290938,0.17852783203125,0.9102760736196319,0.9530309112806102
dataset\inputs\input00739.dcm,dataset\bone_masks\mask00739.dcm,4614,257060,162,308,0.9374238114587566,0.9660804020100503,0.0006298061596597492,0.0625761885412434,0.179290771484375,0.9075531077891426,0.9515363992575789
dataset\inputs\input00740.dcm,dataset\bone_masks\mask00740.dcm,4606,257148,158,232,0.9520463001240181,0.9668345927791772,0.0006140548607494579,0.04795369987598181,0.148773193359375,0.9219375500400319,0.9593834617787961
dataset\inputs\input00741.dcm,dataset\bone_masks\mask00741.dcm,4505,257083,216,340,0.9298245614035088,0.954246981571701,0.0008394902428691911,0.07017543859649122,0.21209716796875,0.8901402884805374,0.9418774827514113
dataset\inputs\input00742.dcm,dataset\bone_masks\mask00742.dcm,5436,256196,337,175,0.968811263589378,0.9416248051273168,0.0013136711456225906,0.031188736410621993,0.1953125,0.9139206455951582,0.955024595924104
dataset\inputs\input00743.dcm,dataset\bone_masks\mask00743.dcm,6144,255655,215,130,0.9792795664647752,0.9661896524610788,0.0008402704498378082,0.020720433535224736,0.1316070556640625,0.946833102172908,0.9726905723106151
dataset\inputs\input00744.dcm,dataset\bone_masks\mask00744.dcm,5545,255966,177,456,0.9240126645559074,0.9690667598741699,0.0006910202504069993,0.07598733544409265,0.2414703369140625,0.897539656846876,0.9460035827006739
dataset\inputs\input00745.dcm,dataset\bone_masks\mask00745.dcm,2408,259481,114,141,0.9446841898783837,0.9547977795400476,0.0004391455921724224,0.05531581012161632,0.0972747802734375,0.9042433345850543,0.9497140603431276
dataset\inputs\input00746.dcm,dataset\bone_masks\mask00746.dcm,5276,256310,247,311,0.9443350635403616,0.955277928661959,0.000962749018736577,0.055664936459638444,0.212860107421875,0.9043537881384984,0.9497749774977498
dataset\inputs\input00747.dcm,dataset\bone_masks\mask00747.dcm,5089,256522,281,252,0.9528178243774574,0.9476722532588454,0.0010942239771342234,0.047182175622542594,0.2033233642578125,0.9051938811810746,0.9502380730090562
dataset\inputs\input00748.dcm,dataset\bone_masks\mask00748.dcm,4998,256664,238,244,0.9534528805799313,0.9545454545454546,0.0009264233053849327,0.04654711942006868,0.183868408203125,0.9120437956204379,0.9539988547432716
dataset\inputs\input00749.dcm,dataset\bone_masks\mask00749.dcm,5049,256559,210,326,0.9393488372093023,0.9600684540787222,0.0008178557380369125,0.060651162790697676,0.2044677734375,0.9040286481647272,0.9495956366372015
dataset\inputs\input00750.dcm,dataset\bone_masks\mask00750.dcm,5124,256439,226,355,0.9352071545902537,0.9577570093457944,0.0008805251982155728,0.06479284540974631,0.2216339111328125,0.8981595092024539,0.9463477698771816
dataset\inputs\input00751.dcm,dataset\bone_masks\mask00751.dcm,4956,256677,157,354,0.9333333333333333,0.9692939565812635,0.0006112897825054315,0.06666666666666667,0.1949310302734375,0.906530089628681,0.9509738079247817
